PersonelNo;AdSoyad;Departman;Otel;IseBaslamaTarihi;AyrilisTarihi
P1001;Ayşe Demir;SPA;GSR;2024-03-01;
P1002;Mehmet Kaya;SPA;GSR;2024-03-01;
P1003;Elif Şahin;SPA;GGR;2024-03-01;
P1004;Burak Yıldız;F&B;GSR;2024-03-01;
P1005;Zeynep Arslan;F&B;GGR;2024-03-01;
P1006;Can Öztürk;F&B;GVR;2024-03-01;
P1007;Selin Çelik;ÖN BÜRO;GSR;2024-03-01;
P1008;Emre Koç;ÖN BÜRO;GGR;2024-03-01;
P1009;Deniz Aydın;GUEST RELATIONS;GSR;2024-03-01;
P1010;Merve Polat;GUEST RELATIONS;GVR;2024-03-01;
P1011;Okan Doğan;SPA;GVR;2024-03-01;
P1012;Gamze Kurt;F&B;GSR;2026-08-18;
P1013;Hakan Ateş;SPA;GSR;2023-05-15;2026-08-12
